kind,threshold,pct,K,R_eq,act_fraction,n_seed,frac_activated,frac_peak_active,peak_active,t_peak,n_early,N,seed_x,seed_y,seed_z
sweep,0.15,99,0.017304422151675974,7.6018876938403706,0.03,300.0,0.9972,0.048,480.0,360.0,1749.0,10000.0,-2.2061195373535156,-22.589597702026367,4.889047622680664
sweep,0.15,50,0.002387144742889361,20.467303215490702,0.004,40.0,0.9946,0.065,650.0,349.0,1080.0,10000.0,9.549781799316406,-11.073118209838867,-4.782415866851807
sweep,0.15,50,0.002387144742889361,20.467303215490702,0.006,60.0,0.9947,0.0645,645.0,345.0,1218.0,10000.0,9.549781799316406,-11.073118209838867,-4.782415866851807
sweep,0.15,50,0.002387144742889361,20.467303215490702,0.008,80.0,0.9936,0.0646,646.0,347.0,1297.0,10000.0,9.549781799316406,-11.073118209838867,-4.782415866851807
sweep,0.15,50,0.002387144742889361,20.467303215490702,0.01,100.0,0.9938,0.0636,636.0,344.0,1404.0,10000.0,9.549781799316406,-11.073118209838867,-4.782415866851807
sweep,0.15,50,0.002387144742889361,20.467303215490702,0.0125,125.0,0.9939,0.0645,645.0,337.0,1492.0,10000.0,9.549781799316406,-11.073118209838867,-4.782415866851807
sweep,0.15,50,0.002387144742889361,20.467303215490702,0.015,150.0,0.9956,0.0637,637.0,338.0,1568.0,10000.0,9.549781799316406,-11.073118209838867,-4.782415866851807
sweep,0.15,50,0.002387144742889361,20.467303215490702,0.02,200.0,0.9936,0.0639,639.0,337.0,1731.0,10000.0,9.549781799316406,-11.073118209838867,-4.782415866851807
sweep,0.15,50,0.002387144742889361,20.467303215490702,0.03,300.0,0.9952,0.0648,648.0,325.0,1993.0,10000.0,9.549781799316406,-11.073118209838867,-4.782415866851807
sweep,0.15,5,0.00040131755970168907,49.91785539507252,0.004,40.0,0.9936,0.0722,722.0,366.0,1123.0,10000.0,6.5259528160095215,-4.865880012512207,-9.537410736083984
sweep,0.15,5,0.00040131755970168907,49.91785539507252,0.006,60.0,0.9932,0.0719,719.0,341.0,1230.0,10000.0,6.5259528160095215,-4.865880012512207,-9.537410736083984
sweep,0.15,5,0.00040131755970168907,49.91785539507252,0.008,80.0,0.9934,0.0723,723.0,338.0,1328.0,10000.0,6.5259528160095215,-4.865880012512207,-9.537410736083984
sweep,0.15,5,0.00040131755970168907,49.91785539507252,0.01,100.0,0.9924,0.0728,728.0,346.0,1403.0,10000.0,6.5259528160095215,-4.865880012512207,-9.537410736083984
sweep,0.15,5,0.00040131755970168907,49.91785539507252,0.0125,125.0,0.9923,0.072,720.0,357.0,1514.0,10000.0,6.5259528160095215,-4.865880012512207,-9.537410736083984
sweep,0.15,5,0.00040131755970168907,49.91785539507252,0.015,150.0,0.993,0.0725,725.0,341.0,1616.0,10000.0,6.5259528160095215,-4.865880012512207,-9.537410736083984
sweep,0.15,5,0.00040131755970168907,49.91785539507252,0.02,200.0,0.9926,0.0726,726.0,336.0,1768.0,10000.0,6.5259528160095215,-4.865880012512207,-9.537410736083984
sweep,0.15,5,0.00040131755970168907,49.91785539507252,0.03,300.0,0.9923,0.0729,729.0,331.0,2050.0,10000.0,6.5259528160095215,-4.865880012512207,-9.537410736083984
