x,y,z,K,activation_time,speed
-7.6622,19.8100,4.4770,0.008244,311,0.29694
6.2181,20.2390,0.0130,0.006470,251,0.23732
-9.4193,18.4920,1.9583,0.006848,315,0.25253
-1.0993,19.3939,8.4923,0.006743,283,0.21825
-9.0249,19.2412,0.4048,0.009554,309,0.27897
3.8152,20.0228,5.9983,0.009443,263,0.23587
-8.3776,19.4023,3.7199,0.010294,315,0.08397
2.5703,18.5981,8.0987,0.005227,267,0.20713
-5.4357,19.2839,-6.0835,0.004642,283,0.23148
-5.5066,19.2581,7.4236,0.010051,299,0.13092
-1.0806,18.4168,9.1360,0.006514,283,0.08184
-8.9263,19.0735,2.6842,0.014114,315,0.20539
-9.0158,19.2458,1.4981,0.014047,311,0.13503
-1.7899,19.8993,8.1168,0.008142,287,0.11953
-0.6205,18.9837,-7.8776,0.004668,263,0.07960
2.2630,19.2475,-7.0064,0.009818,255,0.22962
2.1052,20.7002,6.3955,0.010962,271,0.22829
1.7917,19.2654,7.9460,0.006817,271,0.23462
-2.4098,19.4324,8.4427,0.009268,287,0.11626
4.4139,18.5197,6.9874,0.005580,259,0.18279
-0.7557,17.2128,9.7310,0.007557,279,0.04952
-6.4429,19.0156,6.8998,0.010320,303,0.12872
-9.4716,18.0663,2.8063,0.008179,319,0.09013
-2.8847,19.0084,-7.5949,0.007510,271,0.08060
3.3011,18.9433,-6.7439,0.008380,251,0.19194
-7.5223,19.3092,5.3917,0.011247,311,0.07909
4.3885,19.8131,-4.9264,0.010088,251,0.22113
3.5241,18.6074,7.5608,0.009250,263,0.18899
-5.0941,18.5969,8.1416,0.014009,298,0.27913
-1.8653,18.8782,8.8795,0.017755,286,0.17369
-4.0280,18.6720,8.5472,0.008056,294,0.20123
-8.0765,18.4149,5.5392,0.009249,311,0.15869
6.9680,19.4371,0.1585,0.012794,247,0.24134
4.8987,20.1208,-3.8592,0.005542,250,0.23707
-0.2011,18.8641,8.7700,0.002735,279,0.22444
6.0323,19.9545,2.8490,0.007866,255,0.15761
-1.7633,19.0431,-7.7933,0.009295,267,0.08632
1.5644,18.4776,8.5995,0.008792,271,0.10728
-9.3178,18.3581,-1.2470,0.007757,307,0.24440
6.9845,19.0828,-1.7251,0.019280,243,0.23252
-7.2982,18.7336,6.2821,0.011477,307,0.15712
2.7713,19.3490,7.4049,0.005107,267,0.23512
6.4494,18.9752,-3.3423,0.009600,243,0.22146
-7.7282,19.5709,-3.1392,0.007830,298,0.14506
0.5142,18.8652,-7.8632,0.011317,259,0.07989
6.6367,19.5743,2.0246,0.009373,251,0.24025
-6.0814,18.3723,7.6719,0.012978,302,0.21631
-7.8863,18.8996,-3.8131,0.006620,295,0.09675
-8.2737,18.9422,4.6245,0.008842,314,0.12025
2.7276,18.3655,-7.5551,0.011303,251,0.08217
-8.9314,18.5606,3.6976,0.008753,318,0.05406
3.6961,19.3322,6.8126,0.004898,263,0.23509
-2.9894,18.7315,8.8207,0.007749,290,0.20265
-0.1270,18.1735,-8.4970,0.012313,262,0.27637
-4.4007,19.5636,-6.4945,0.013990,279,0.22622
-4.6041,17.9399,8.7766,0.010755,295,0.15194
