K,R_eq,seed_x,seed_y,seed_z,act_fraction,n_seed,frac_activated,n_early,N
0.01013155292607936,9.934865484743725,-9.126017570495605,18.36349868774414,3.4683239459991455,0.03,300.0,0.9979,1829.0,10000.0
0.01013155292607936,9.934865484743725,-9.126017570495605,18.36349868774414,3.4683239459991455,0.04,400.0,0.9984,2031.0,10000.0
0.01013155292607936,9.934865484743725,-9.126017570495605,18.36349868774414,3.4683239459991455,0.05,500.0,0.9975,2194.0,10000.0
0.006333789170339927,12.56516507263166,-5.049585342407227,17.651874542236328,-7.72203254699707,0.002,20.0,0.9975,912.0,10000.0
0.006333789170339927,12.56516507263166,-5.049585342407227,17.651874542236328,-7.72203254699707,0.004,40.0,0.9972,1094.0,10000.0
0.006333789170339927,12.56516507263166,-5.049585342407227,17.651874542236328,-7.72203254699707,0.006,60.0,0.9984,1199.0,10000.0
0.006333789170339927,12.56516507263166,-5.049585342407227,17.651874542236328,-7.72203254699707,0.008,80.0,0.9983,1291.0,10000.0
0.006333789170339927,12.56516507263166,-5.049585342407227,17.651874542236328,-7.72203254699707,0.01,100.0,0.9983,1371.0,10000.0
0.006333789170339927,12.56516507263166,-5.049585342407227,17.651874542236328,-7.72203254699707,0.0125,125.0,0.9985,1463.0,10000.0
0.006333789170339927,12.56516507263166,-5.049585342407227,17.651874542236328,-7.72203254699707,0.015,150.0,0.9967,1520.0,10000.0
0.006333789170339927,12.56516507263166,-5.049585342407227,17.651874542236328,-7.72203254699707,0.02,200.0,0.9976,1672.0,10000.0
0.006333789170339927,12.56516507263166,-5.049585342407227,17.651874542236328,-7.72203254699707,0.025,250.0,0.9971,1802.0,10000.0
0.006333789170339927,12.56516507263166,-5.049585342407227,17.651874542236328,-7.72203254699707,0.03,300.0,0.999,1917.0,10000.0
0.006333789170339927,12.56516507263166,-5.049585342407227,17.651874542236328,-7.72203254699707,0.04,400.0,0.9986,2124.0,10000.0
0.006333789170339927,12.56516507263166,-5.049585342407227,17.651874542236328,-7.72203254699707,0.05,500.0,0.9985,2337.0,10000.0
0.002387144742889361,20.467303215490702,9.549781799316406,-11.073118209838867,-4.782415866851807,0.002,20.0,0.9943,954.0,10000.0
0.002387144742889361,20.467303215490702,9.549781799316406,-11.073118209838867,-4.782415866851807,0.004,40.0,0.9946,1080.0,10000.0
0.002387144742889361,20.467303215490702,9.549781799316406,-11.073118209838867,-4.782415866851807,0.006,60.0,0.9947,1218.0,10000.0
0.002387144742889361,20.467303215490702,9.549781799316406,-11.073118209838867,-4.782415866851807,0.008,80.0,0.9936,1297.0,10000.0
0.002387144742889361,20.467303215490702,9.549781799316406,-11.073118209838867,-4.782415866851807,0.01,100.0,0.9938,1404.0,10000.0
0.002387144742889361,20.467303215490702,9.549781799316406,-11.073118209838867,-4.782415866851807,0.0125,125.0,0.9939,1492.0,10000.0
0.002387144742889361,20.467303215490702,9.549781799316406,-11.073118209838867,-4.782415866851807,0.015,150.0,0.9956,1568.0,10000.0
0.002387144742889361,20.467303215490702,9.549781799316406,-11.073118209838867,-4.782415866851807,0.02,200.0,0.9936,1731.0,10000.0
0.002387144742889361,20.467303215490702,9.549781799316406,-11.073118209838867,-4.782415866851807,0.025,250.0,0.9959,1880.0,10000.0
0.002387144742889361,20.467303215490702,9.549781799316406,-11.073118209838867,-4.782415866851807,0.03,300.0,0.9952,1993.0,10000.0
0.002387144742889361,20.467303215490702,9.549781799316406,-11.073118209838867,-4.782415866851807,0.04,400.0,0.9944,2255.0,10000.0
0.002387144742889361,20.467303215490702,9.549781799316406,-11.073118209838867,-4.782415866851807,0.05,500.0,0.9945,2443.0,10000.0
0.0012133507441032163,28.708256613824233,-4.054409980773926,-1.3993566036224365,-10.984289169311523,0.002,20.0,0.991,983.0,10000.0
0.0012133507441032163,28.708256613824233,-4.054409980773926,-1.3993566036224365,-10.984289169311523,0.004,40.0,0.9918,1155.0,10000.0
0.0012133507441032163,28.708256613824233,-4.054409980773926,-1.3993566036224365,-10.984289169311523,0.006,60.0,0.991,1243.0,10000.0
0.0012133507441032163,28.708256613824233,-4.054409980773926,-1.3993566036224365,-10.984289169311523,0.008,80.0,0.9916,1366.0,10000.0
0.0012133507441032163,28.708256613824233,-4.054409980773926,-1.3993566036224365,-10.984289169311523,0.01,100.0,0.9895,1424.0,10000.0
0.0012133507441032163,28.708256613824233,-4.054409980773926,-1.3993566036224365,-10.984289169311523,0.0125,125.0,0.9912,1528.0,10000.0
